connecting
connected with result code0
sensorData {"accelX":-0.08984375,"accelY":0.016845703125,"accelZ":-1.243408203125,"gyroX":-13.953094482421875,"gyroY":171.31256103515625,"gyroZ":-1.891021728515625}
sensorData {"accelX":0.00537109375,"accelY":0.02001953125,"accelZ":-1.219482421875,"gyroX":-8.48236083984375,"gyroY":116.854248046875,"gyroZ":-0.66925048828125}
sensorData {"accelX":0.1865234375,"accelY":0.02978515625,"accelZ":-1.14453125,"gyroX":-7.883148193359375,"gyroY":93.12698364257812,"gyroZ":-0.54473876953125}
sensorData {"accelX":0.22705078125,"accelY":0.0048828125,"accelZ":-1.05908203125,"gyroX":-4.482421875,"gyroY":36.83990478515625,"gyroZ":-0.4669189453125}
sensorData {"accelX":0.20166015625,"accelY":-0.000244140625,"accelZ":-1.079345703125,"gyroX":-1.315155029296875,"gyroY":14.793548583984375,"gyroZ":0.505828857421875}
sensorData {"accelX":0.261962890625,"accelY":-0.001220703125,"accelZ":-1.18017578125,"gyroX":7.836456298828125,"gyroY":-50.123748779296875,"gyroZ":2.202301025390625}
sensorData {"accelX":0.119873046875,"accelY":0.02880859375,"accelZ":-1.281005859375,"gyroX":15.276031494140625,"gyroY":-106.65206909179688,"gyroZ":4.8248291015625}
sensorData {"accelX":0.038818359375,"accelY":0.010986328125,"accelZ":-1.32958984375,"gyroX":22.7545166015625,"gyroY":-181.85714721679688,"gyroZ":5.361785888671875}
sensorData {"accelX":-0.206787109375,"accelY":0.05322265625,"accelZ":-1.230224609375,"gyroX":25.159149169921875,"gyroY":-210.63491821289062,"gyroZ":5.424041748046875}
sensorData {"accelX":-0.445068359375,"accelY":0.0810546875,"accelZ":-0.949951171875,"gyroX":25.454864501953125,"gyroY":-232.00424194335938,"gyroZ":4.972686767578125}
sensorData {"accelX":-0.6787109375,"accelY":0.110595703125,"accelZ":-0.56787109375,"gyroX":26.419830322265625,"gyroY":-255,"gyroZ":6.015472412109375}
sensorData {"accelX":-0.720703125,"accelY":0.060791015625,"accelZ":-0.1708984375,"gyroX":25.54046630859375,"gyroY":-237.31155395507812,"gyroZ":7.9998779296875}
